Course Code,Grade,Course Title,MyEd BC Code,TRAX Code,Course Category,Lang Of Inst,Developer,Authorizer,Open Date,Close Date,Completion End Date,Credit Value,Grad Program,Grad Program Requirement,HST Main Category,HST Sub Category,Ministry Subject Code
4507015,11,IB GEOGRAPHY (SL) 11,IGGS-11,IBGGS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Adult Graduation Program,Grade 12 or Social Studies 11 or 12,45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507015,11,IB GEOGRAPHY (SL) 11,IGGS-11,IBGGS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507016,12,IB GEOGRAPHY (SL) 12,IGGS-12,IBGGS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507016,12,IB GEOGRAPHY (SL) 12,IGGS-12,IBGGS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,Elective,45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507016,12,IB GEOGRAPHY (SL) 12,IGGS-12,IBGGS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,Elective,45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507016,12,IB GEOGRAPHY (SL) 12,IGGS-12,IBGGS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,Elective,45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507016,12,IB GEOGRAPHY (SL) 12,IGGS-12,IBGGS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Adult Graduation Program,"Grade 12,Elective",45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4507016,12,IB GEOGRAPHY (SL) 12,IGGS-12,IBGGS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,45 SOCIAL SCIENCES,07 GEOGRAPHY,50 Social Studies
4508022,11,IB HISTORY (HL) 11,IHIH-11,IBHIH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508022,11,IB HISTORY (HL) 11,IHIH-11,IBHIH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,"Social Studies 11 or 12,Elective",45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508022,11,IB HISTORY (HL) 11,IHIH-11,IBHIH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,"Social Studies 11 or 12,Elective",45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508022,11,IB HISTORY (HL) 11,IHIH-11,IBHIH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,"Social Studies 11 or 12,Elective",45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508022,11,IB HISTORY (HL) 11,IHIH-11,IBHIH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Adult Graduation Program,Grade 12 or Social Studies 11 or 12,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508022,11,IB HISTORY (HL) 11,IHIH-11,IBHIH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508023,12,IB HISTORY (HL) 12A,IHIH-2A,IBHIH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1985,,,4,1995 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508023,12,IB HISTORY (HL) 12A,IHIH-2A,IBHIH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1985,,,4,2004 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508023,12,IB HISTORY (HL) 12A,IHIH-2A,IBHIH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1985,,,4,2018 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508023,12,IB HISTORY (HL) 12A,IHIH-2A,IBHIH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1985,,,4,2023 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508023,12,IB HISTORY (HL) 12A,IHIH-2A,IBHIH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1985,,,4,Adult Graduation Program,"Grade 12,Elective",45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508023,12,IB HISTORY (HL) 12A,IHIH-2A,IBHIH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1985,,,4,Course-Based Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508025,11,IB HISTORY (SL) 11,IHIS-11,IBHIS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508025,11,IB HISTORY (SL) 11,IHIS-11,IBHIS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,"Social Studies 11 or 12,Elective",45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508025,11,IB HISTORY (SL) 11,IHIS-11,IBHIS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,"Social Studies 11 or 12,Elective",45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508025,11,IB HISTORY (SL) 11,IHIS-11,IBHIS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,"Social Studies 11 or 12,Elective",45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508025,11,IB HISTORY (SL) 11,IHIS-11,IBHIS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Adult Graduation Program,Grade 12 or Social Studies 11 or 12,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508025,11,IB HISTORY (SL) 11,IHIS-11,IBHIS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508026,12,IB HISTORY (SL) 12,IHIS-12,IBHIS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508026,12,IB HISTORY (SL) 12,IHIS-12,IBHIS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508026,12,IB HISTORY (SL) 12,IHIS-12,IBHIS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508026,12,IB HISTORY (SL) 12,IHIS-12,IBHIS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508026,12,IB HISTORY (SL) 12,IHIS-12,IBHIS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Adult Graduation Program,"Grade 12,Elective",45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
4508026,12,IB HISTORY (SL) 12,IHIS-12,IBHIS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,45 SOCIAL SCIENCES,08 HISTORY,50 Social Studies
1101232,11,IB INFO TECH IN A GLOBAL SOCIETY (HL) 11,IITH-11,IBITH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,1995 Graduation Program,Elective,11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101232,11,IB INFO TECH IN A GLOBAL SOCIETY (HL) 11,IITH-11,IBITH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101232,11,IB INFO TECH IN A GLOBAL SOCIETY (HL) 11,IITH-11,IBITH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101232,11,IB INFO TECH IN A GLOBAL SOCIETY (HL) 11,IITH-11,IBITH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101233,12,IB INFO TECH IN A GLOBAL SOCIETY (HL) 12,IITH-12,IBITH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,1995 Graduation Program,Elective,11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101233,12,IB INFO TECH IN A GLOBAL SOCIETY (HL) 12,IITH-12,IBITH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101233,12,IB INFO TECH IN A GLOBAL SOCIETY (HL) 12,IITH-12,IBITH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101233,12,IB INFO TECH IN A GLOBAL SOCIETY (HL) 12,IITH-12,IBITH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101233,12,IB INFO TECH IN A GLOBAL SOCIETY (HL) 12,IITH-12,IBITH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,Adult Graduation Program,"Grade 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101234,11,IB INFO TECH IN A GLOBAL SOCIETY (SL) 11,IITS-11,IBITS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,1995 Graduation Program,"Science 11 or 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101234,11,IB INFO TECH IN A GLOBAL SOCIETY (SL) 11,IITS-11,IBITS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101234,11,IB INFO TECH IN A GLOBAL SOCIETY (SL) 11,IITS-11,IBITS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101234,11,IB INFO TECH IN A GLOBAL SOCIETY (SL) 11,IITS-11,IBITS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101234,11,IB INFO TECH IN A GLOBAL SOCIETY (SL) 11,IITS-11,IBITS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,Course-Based Graduation Program,Elective,11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101235,12,IB INFO TECH IN A GLOBAL SOCIETY (SL) 12,IITS-12,IBITS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,1995 Graduation Program,"Science 11 or 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101235,12,IB INFO TECH IN A GLOBAL SOCIETY (SL) 12,IITS-12,IBITS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101235,12,IB INFO TECH IN A GLOBAL SOCIETY (SL) 12,IITS-12,IBITS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101235,12,IB INFO TECH IN A GLOBAL SOCIETY (SL) 12,IITS-12,IBITS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101235,12,IB INFO TECH IN A GLOBAL SOCIETY (SL) 12,IITS-12,IBITS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,Adult Graduation Program,"Grade 12,Elective",11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1101235,12,IB INFO TECH IN A GLOBAL SOCIETY (SL) 12,IITS-12,IBITS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1996,,,4,Course-Based Graduation Program,Elective,11 COMPUTER AND INFORMATION SCIENCES,"01 COMPUTER AND INFORMATION SCIENCES, GENERAL",25 Information and Communications Technology
1603011,11,IB JAPANESE AB I (SL) 11,IJA--11,IBJA 11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603011,11,IB JAPANESE AB I (SL) 11,IJA--11,IBJA 11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603011,11,IB JAPANESE AB I (SL) 11,IJA--11,IBJA 11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603011,11,IB JAPANESE AB I (SL) 11,IJA--11,IBJA 11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603011,11,IB JAPANESE AB I (SL) 11,IJA--11,IBJA 11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603012,12,IB JAPANESE AB I (SL) 12,IJAA-12,IBJAA12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603012,12,IB JAPANESE AB I (SL) 12,IJAA-12,IBJAA12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603012,12,IB JAPANESE AB I (SL) 12,IJAA-12,IBJAA12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603012,12,IB JAPANESE AB I (SL) 12,IJAA-12,IBJAA12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603012,12,IB JAPANESE AB I (SL) 12,IJAA-12,IBJAA12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Adult Graduation Program,"Grade 12,Elective",16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603012,12,IB JAPANESE AB I (SL) 12,IJAA-12,IBJAA12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603008,11,IB JAPANESE (HL) 11,IJBH-11,IBJBH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603008,11,IB JAPANESE (HL) 11,IJBH-11,IBJBH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603008,11,IB JAPANESE (HL) 11,IJBH-11,IBJBH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603008,11,IB JAPANESE (HL) 11,IJBH-11,IBJBH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603009,12,IB JAPANESE (HL) 12,IJBH-12,IBJBH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603009,12,IB JAPANESE (HL) 12,IJBH-12,IBJBH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603009,12,IB JAPANESE (HL) 12,IJBH-12,IBJBH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603009,12,IB JAPANESE (HL) 12,IJBH-12,IBJBH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603009,12,IB JAPANESE (HL) 12,IJBH-12,IBJBH12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,Adult Graduation Program,"Grade 12,Elective",16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603013,11,IB JAPANESE B (SL) 11,IJBS-11,IBJBS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603013,11,IB JAPANESE B (SL) 11,IJBS-11,IBJBS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603013,11,IB JAPANESE B (SL) 11,IJBS-11,IBJBS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603013,11,IB JAPANESE B (SL) 11,IJBS-11,IBJBS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603014,12,IB JAPANESE B (SL) 12,IJBS-12,IBJBS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603014,12,IB JAPANESE B (SL) 12,IJBS-12,IBJBS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603014,12,IB JAPANESE B (SL) 12,IJBS-12,IBJBS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603014,12,IB JAPANESE B (SL) 12,IJBS-12,IBJBS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1603014,12,IB JAPANESE B (SL) 12,IJBS-12,IBJBS12,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/2006,,,4,Adult Graduation Program,"Grade 12,Elective",16 FOREIGN LANGUAGES,03 ASIATIC LANGUAGES,30 Languages
1699026,11,IB LATIN (HL) 11,ILAH-11,IBLAH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699026,11,IB LATIN (HL) 11,ILAH-11,IBLAH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699026,11,IB LATIN (HL) 11,ILAH-11,IBLAH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699026,11,IB LATIN (HL) 11,ILAH-11,IBLAH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699026,11,IB LATIN (HL) 11,ILAH-11,IBLAH11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699027,12,IB LATIN (HL) 12A,ILAH-2A,IBLAH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699027,12,IB LATIN (HL) 12A,ILAH-2A,IBLAH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699027,12,IB LATIN (HL) 12A,ILAH-2A,IBLAH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699027,12,IB LATIN (HL) 12A,ILAH-2A,IBLAH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699027,12,IB LATIN (HL) 12A,ILAH-2A,IBLAH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Adult Graduation Program,"Grade 12,Elective",16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699027,12,IB LATIN (HL) 12A,ILAH-2A,IBLAH12A,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699029,11,IB LATIN (SL) 11,ILAS-11,IBLAS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699029,11,IB LATIN (SL) 11,ILAS-11,IBLAS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699029,11,IB LATIN (SL) 11,ILAS-11,IBLAS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699029,11,IB LATIN (SL) 11,ILAS-11,IBLAS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
1699029,11,IB LATIN (SL) 11,ILAS-11,IBLAS11,External Credential,English,International Baccalaureate Program,Ministry of Education and Child Care,9/1/1995,,,4,Course-Based Graduation Program,Elective,16 FOREIGN LANGUAGES,"99 FOREIGN LANGUAGES, OTHER",30 Languages
